record_date,month_in_year,day_in_month,day_in_year,day_in_week,week_in_month,week_in_year,is_holiday,holiday_before,holiday_after,day_in_holiday,is_adjust,is_special_holiday
2015-06-08,6,8,159,1,2,23,0,5,1,0,0,0
2015-06-09,6,9,160,2,2,23,0,4,2,0,0,0
2015-06-10,6,10,161,3,2,23,0,3,3,0,0,0
2015-06-11,6,11,162,4,2,23,0,2,4,0,0,0
2015-06-12,6,12,163,5,2,23,0,1,5,0,0,0
2015-06-13,6,13,164,6,2,23,1,0,0,1,0,0
2015-06-14,6,14,165,7,2,24,1,0,0,2,0,0
2015-06-15,6,15,166,1,3,24,0,5,1,0,0,0
2015-06-16,6,16,167,2,3,24,0,4,2,0,0,0
2015-06-17,6,17,168,3,3,24,0,3,3,0,0,0
2015-06-18,6,18,169,4,3,24,0,2,4,0,0,0
2015-06-19,6,19,170,5,3,24,0,1,5,0,0,0
2015-06-20,6,20,171,6,3,24,1,0,0,1,0,1
2015-06-21,6,21,172,7,3,25,1,0,0,2,0,1
2015-06-22,6,22,173,1,4,25,1,0,0,3,1,1
2015-06-23,6,23,174,2,4,25,0,4,1,0,0,0
2015-06-24,6,24,175,3,4,25,0,3,2,0,0,0
2015-06-25,6,25,176,4,4,25,0,2,3,0,0,0
2015-06-26,6,26,177,5,4,25,0,1,4,0,0,0
2015-06-27,6,27,178,6,4,25,1,0,0,1,0,0
2015-06-28,6,28,179,7,4,26,1,0,0,2,0,0
2015-06-29,6,29,180,1,5,26,0,5,1,0,0,0
2015-06-30,6,30,181,2,5,26,0,4,2,0,0,0
2015-07-01,7,1,182,3,1,26,0,3,3,0,0,0
2015-07-02,7,2,183,4,1,26,0,2,4,0,0,0
2015-07-03,7,3,184,5,1,26,0,1,5,0,0,0
2015-07-04,7,4,185,6,1,26,1,0,0,1,0,0
2015-07-05,7,5,186,7,1,27,1,0,0,2,0,0
2015-07-06,7,6,187,1,2,27,0,5,1,0,0,0
2015-07-07,7,7,188,2,2,27,0,4,2,0,0,0
2015-07-08,7,8,189,3,2,27,0,3,3,0,0,0
2015-07-09,7,9,190,4,2,27,0,2,4,0,0,0
2015-07-10,7,10,191,5,2,27,0,1,5,0,0,0
2015-07-11,7,11,192,6,2,27,1,0,0,1,0,0
2015-07-12,7,12,193,7,2,28,1,0,0,2,0,0
2015-07-13,7,13,194,1,3,28,0,5,1,0,0,0
2015-07-14,7,14,195,2,3,28,0,4,2,0,0,0
2015-07-15,7,15,196,3,3,28,0,3,3,0,0,0
2015-07-16,7,16,197,4,3,28,0,2,4,0,0,0
2015-07-17,7,17,198,5,3,28,0,1,5,0,0,0
2015-07-18,7,18,199,6,3,28,1,0,0,1,0,0
2015-07-19,7,19,200,7,3,29,1,0,0,2,0,0
2015-07-20,7,20,201,1,4,29,0,5,1,0,0,0
2015-07-21,7,21,202,2,4,29,0,4,2,0,0,0
2015-07-22,7,22,203,3,4,29,0,3,3,0,0,0
2015-07-23,7,23,204,4,4,29,0,2,4,0,0,0
2015-07-24,7,24,205,5,4,29,0,1,5,0,0,0
2015-07-25,7,25,206,6,4,29,1,0,0,1,0,0
2015-07-26,7,26,207,7,4,30,1,0,0,2,0,0
2015-07-27,7,27,208,1,5,30,0,5,1,0,0,0
2015-07-28,7,28,209,2,5,30,0,4,2,0,0,0
2015-07-29,7,29,210,3,5,30,0,3,3,0,0,0
2015-07-30,7,30,211,4,5,30,0,2,4,0,0,0
2015-07-31,7,31,212,5,5,30,0,1,5,0,0,0
2015-08-01,8,1,213,6,1,30,1,0,0,1,0,0
2015-08-02,8,2,214,7,1,31,1,0,0,2,0,0
2015-08-03,8,3,215,1,2,31,0,5,1,0,0,0
2015-08-04,8,4,216,2,2,31,0,4,2,0,0,0
2015-08-05,8,5,217,3,2,31,0,3,3,0,0,0
2015-08-06,8,6,218,4,2,31,0,2,4,0,0,0
2015-08-07,8,7,219,5,2,31,0,1,5,0,0,0
2015-08-08,8,8,220,6,2,31,1,0,0,1,0,0
2015-08-09,8,9,221,7,2,32,1,0,0,2,0,0
2015-08-10,8,10,222,1,3,32,0,5,1,0,0,0
2015-08-11,8,11,223,2,3,32,0,4,2,0,0,0
2015-08-12,8,12,224,3,3,32,0,3,3,0,0,0
2015-08-13,8,13,225,4,3,32,0,2,4,0,0,0
2015-08-14,8,14,226,5,3,32,0,1,5,0,0,0
2015-08-15,8,15,227,6,3,32,1,0,0,1,0,0
2015-08-16,8,16,228,7,3,33,1,0,0,2,0,0
2015-08-17,8,17,229,1,4,33,0,5,1,0,0,0
2015-08-18,8,18,230,2,4,33,0,4,2,0,0,0
2015-08-19,8,19,231,3,4,33,0,3,3,0,0,0
2015-08-20,8,20,232,4,4,33,0,2,4,0,0,0
2015-08-21,8,21,233,5,4,33,0,1,5,0,0,0
2015-08-22,8,22,234,6,4,33,1,0,0,1,0,0
2015-08-23,8,23,235,7,4,34,1,0,0,2,0,0
2015-08-24,8,24,236,1,5,34,0,5,1,0,0,0
2015-08-25,8,25,237,2,5,34,0,4,2,0,0,0
2015-08-26,8,26,238,3,5,34,0,3,3,0,0,0
2015-08-27,8,27,239,4,5,34,0,2,4,0,0,0
2015-08-28,8,28,240,5,5,34,0,1,5,0,0,0
2015-08-29,8,29,241,6,5,34,1,0,0,1,0,0
2015-08-30,8,30,242,7,5,35,1,0,0,2,0,0
2015-08-31,8,31,243,1,6,35,0,3,1,0,0,0
2015-09-01,9,1,244,2,1,35,0,2,2,0,0,0
2015-09-02,9,2,245,3,1,35,0,1,3,0,0,0
2015-09-03,9,3,246,4,1,35,1,0,0,1,1,1
2015-09-04,9,4,247,5,1,35,1,0,0,2,1,1
2015-09-05,9,5,248,6,1,35,1,0,0,3,0,1
2015-09-06,9,6,249,7,1,36,0,6,1,0,1,0
2015-09-07,9,7,250,1,2,36,0,5,2,0,0,0
2015-09-08,9,8,251,2,2,36,0,4,3,0,0,0
2015-09-09,9,9,252,3,2,36,0,3,4,0,0,0
2015-09-10,9,10,253,4,2,36,0,2,5,0,0,0
2015-09-11,9,11,254,5,2,36,0,1,6,0,0,0
2015-09-12,9,12,255,6,2,36,1,0,0,1,0,0
2015-09-13,9,13,256,7,2,37,1,0,0,2,0,0
2015-09-14,9,14,257,1,3,37,0,5,1,0,0,0
2015-09-15,9,15,258,2,3,37,0,4,2,0,0,0
2015-09-16,9,16,259,3,3,37,0,3,3,0,0,0
2015-09-17,9,17,260,4,3,37,0,2,4,0,0,0
2015-09-18,9,18,261,5,3,37,0,1,5,0,0,0
2015-09-19,9,19,262,6,3,37,1,0,0,1,0,0
2015-09-20,9,20,263,7,3,38,1,0,0,2,0,0
2015-09-21,9,21,264,1,4,38,0,5,1,0,0,0
2015-09-22,9,22,265,2,4,38,0,4,2,0,0,0
2015-09-23,9,23,266,3,4,38,0,3,3,0,0,0
2015-09-24,9,24,267,4,4,38,0,2,4,0,0,0
2015-09-25,9,25,268,5,4,38,0,1,5,0,0,0
2015-09-26,9,26,269,6,4,38,1,0,0,1,0,1
2015-09-27,9,27,270,7,4,39,1,0,0,2,0,1
2015-09-28,9,28,271,1,5,39,1,0,0,3,1,1
2015-09-29,9,29,272,2,5,39,0,2,1,0,0,0
2015-09-30,9,30,273,3,5,39,0,1,2,0,0,0
2015-10-01,10,1,274,4,1,39,1,0,0,1,1,1
2015-10-02,10,2,275,5,1,39,1,0,0,2,1,1
2015-10-03,10,3,276,6,1,39,1,0,0,3,0,1
2015-10-04,10,4,277,7,1,40,1,0,0,4,0,1
2015-10-05,10,5,278,1,2,40,1,0,0,5,1,1
2015-10-06,10,6,279,2,2,40,1,0,0,6,1,1
2015-10-07,10,7,280,3,2,40,1,0,0,7,1,1
2015-10-08,10,8,281,4,2,40,0,3,1,0,0,0
2015-10-09,10,9,282,5,2,40,0,2,2,0,0,0
2015-10-10,10,10,283,6,2,40,0,1,3,0,1,0
2015-10-11,10,11,284,7,2,41,1,0,0,1,0,0
2015-10-12,10,12,285,1,3,41,0,5,1,0,0,0
2015-10-13,10,13,286,2,3,41,0,4,2,0,0,0
2015-10-14,10,14,287,3,3,41,0,3,3,0,0,0
2015-10-15,10,15,288,4,3,41,0,2,4,0,0,0
2015-10-16,10,16,289,5,3,41,0,1,5,0,0,0
2015-10-17,10,17,290,6,3,41,1,0,0,1,0,0
2015-10-18,10,18,291,7,3,42,1,0,0,2,0,0
2015-10-19,10,19,292,1,4,42,0,5,1,0,0,0
2015-10-20,10,20,293,2,4,42,0,4,2,0,0,0
2015-10-21,10,21,294,3,4,42,0,3,3,0,0,0
2015-10-22,10,22,295,4,4,42,0,2,4,0,0,0
2015-10-23,10,23,296,5,4,42,0,1,5,0,0,0
2015-10-24,10,24,297,6,4,42,1,0,0,1,0,0
2015-10-25,10,25,298,7,4,43,1,0,0,2,0,0
2015-10-26,10,26,299,1,5,43,0,5,1,0,0,0
2015-10-27,10,27,300,2,5,43,0,4,2,0,0,0
2015-10-28,10,28,301,3,5,43,0,3,3,0,0,0
2015-10-29,10,29,302,4,5,43,0,2,4,0,0,0
2015-10-30,10,30,303,5,5,43,0,1,5,0,0,0
2015-10-31,10,31,304,6,5,43,1,0,0,1,0,0
2015-11-01,11,1,305,7,1,44,1,0,0,2,0,0
2015-11-02,11,2,306,1,2,44,0,5,1,0,0,0
2015-11-03,11,3,307,2,2,44,0,4,2,0,0,0
2015-11-04,11,4,308,3,2,44,0,3,3,0,0,0
2015-11-05,11,5,309,4,2,44,0,2,4,0,0,0
2015-11-06,11,6,310,5,2,44,0,1,5,0,0,0
2015-11-07,11,7,311,6,2,44,1,0,0,1,0,0
2015-11-08,11,8,312,7,2,45,1,0,0,2,0,0
2015-11-09,11,9,313,1,3,45,0,5,1,0,0,0
2015-11-10,11,10,314,2,3,45,0,4,2,0,0,0
2015-11-11,11,11,315,3,3,45,0,3,3,0,0,0
2015-11-12,11,12,316,4,3,45,0,2,4,0,0,0
2015-11-13,11,13,317,5,3,45,0,1,5,0,0,0
2015-11-14,11,14,318,6,3,45,1,0,0,1,0,0
2015-11-15,11,15,319,7,3,46,1,0,0,2,0,0
2015-11-16,11,16,320,1,4,46,0,5,1,0,0,0
2015-11-17,11,17,321,2,4,46,0,4,2,0,0,0
